raw_index,source,content,tokens,noise_content
43,37,"Care should be taken not to attach luggage which hangs out of the scooter, as it should not interfere with feet movement. There is a smart phone charging socket located below the handle at the right side of the vehicle. It is recommended to use a suitable USB cable recommended by the mobile phone manufacturer for that particular model. When using the socket, ensure that no water enters by closing the USB flap properly, use only mobile phone company's authorized USB cable for mobile charging, and do not damage the flap while opening/inserting the USB cable. Additionally, do not leave the USB charging flap open/partially closed, do not attempt to use/charge any other device other than one mobile phone at a given time, do not try to force the USB connector in, do not charge the mobile when the engine is in 'OFF' condition, and do not use other device as this port is for charging mobile phones only.",185,"35
35Care should be taken not to attach the luggage which 
hangs out of your scooter. Please note that the luggage 
attached to your scooter should not interfere your feet 
movement.Caution
SMART PHONE CHARGER*
This smart phone charging socket enables you to 
charge your smart phone when you are traveling. 
This socket is located below the handle at right side of 
the vehicle. Please go through the operating manual 
of the mobile phone and use a suitable USB cable  
recommended by the mobile phone manufacturer for 
that particular model. Please follow the guidelines 
provided for the proper usage of the socket:
DO‘s
1. Ensure that no water enters into the socket by 
closing the USB flap properly.
2. Use only mobile phone company‘s authorized 
USB cable for mobile charging.
3. Do make sure the flap is not damaged while 
opening / inserting the USB cable.
DON‘Ts
1. Do not leave the USB charging flap open / partially 
closed.
2. Do not attempt to use / charge any other device, 
other than one mobile phone at a given time.
3. Do not try to force the USB connector in, check 
if it is inserted in the appropriate direction, to 
prevent damage.
4. Do not charge your mobile when the engine is in 
‘OFF’ condition.
5. Do not use other device, this port is for charging 
mobile phones only.* Mandatory and optional accessory will be charged extra"
44,38,"Secure mobile phone properly during charging to protect it from liquid, dust, etc. Charging time of mobile may vary depending on battery's state of charge. Flap in unit is designed to prevent water entry and is not replaceable. No warranty for charger if flap is damaged. Caution: Ensure seat is fully closed to avoid battery drain due to continuous glowing of utility box light. Note: Mandatory and optional accessory will be charged extra. TVS Jupiter 125 comes with provision for fixing utility box light located in utility box of vehicle (refer page 24 for opening seat). Light glows once seat is opened if fixed and gets 'OFF' when seat closed automatically.",134,"36Secure your mobile phone properly during charging and 
protect it from any liquid, dust etc. 
The charging time of the mobile may vary, depending on 
the mobile battery‘s state of charge. 
The flap in the unit has been designed to prevent water 
entry and it is not replaceable. No warranty for charger 
incase of flap damage.Caution
UTILITY BOX LIGHT*
Ensure that the seat is fully closed to avoid battery drain 
due to continuous glowing of utility box light.Note
* Mandatory and optional accessory will be charged extraTVS Jupiter 125 comes with provision for fixing the 
utility box light which is located in the utility box of 
your vehicle (refer page no. 24 for opening seat). 
The light glows once the seat is opened if it is fixed 
and gets ‘OFF’ when seat closed automatically."
45,39,"Do not switch 'ON' the ignition without minimum level fuel in tank; it will cause damage to the fuel pump. Caution: Pre-ride inspection. Check the following items before riding: Engine oil (availability of oil up to the level, page no. 50); Transmission oil (availability of oil up to the level, page no. 51); Fuel (enough fuel for the planned distance of running); Tyres (correct pressure, page no. 57; adequate tread depth; no cracks or cuts); Battery (proper working of electric starter, horn, fuel gauge, pass-by, brake lamp, tail lamp, speedo back illumination, license plate lamp and turn signal lamps); Lighting (proper working of head lamp high/low beam and high beam indicator); Steering (smooth movement; no play or looseness); Throttle (correct free play of cable; smooth operation); Brakes (correct front and rear brake lever play, page no. 52 & 54); Wheels (free rotation); Malfunction indicator (turned 'OFF' after the engine is started, page no. 26); ISG malfunction indicator (turned 'OFF' after the ignition 'ON' and engine is started, page no. 26).",248,"37
37RIDING YOUR TVS JUPITER 125
Do not switch ‘ON’ the ignition without minimum level fuel in tank. It will cause damage to the fuel pump.CautionPRE RIDE INSPECTION
Check the following items before riding
ITEM WHAT TO CHECK FOR
Engine oil Availability of oil upto the level (page no. 50)
Transmission oil Availability of oil upto the level (page no. 51)
Fuel Enough fuel for the planned distance of running
Tyres Correct pressure (page no. 57)
 Adequate tread depth / No cracks or cuts.
Battery Proper working of electric starter, horn, fuel gauge, pass-by, brake lamp, tail lamp, 
 speedo back illumination, license plate lamp and turn signal lamps.
Lighting Proper working of head lamp high / low beam and high beam indicator
Steering Smooth movement / No play or looseness
Throttle Correct free play of cable / Smooth operation
Brakes Correct front and rear brake lever play (page no. 52 & 54)
Wheels Free rotation
Malfunction indicator Turned ‘OFF’ after the engine is started (page no. 26)
ISG malfunction indicator Turned ‘OFF’ after the ignition ‘ON’ and engine is s tarted (page no. 26)"
46,40,"Ensure fuel is in fuel tank. Insert control key into ignition cum steering lock and turn to 'ON' position. Turn engine kill switch to 'OFF' position and retract side stand. Apply one of the brakes and press electric starter switch to start vehicle. Press start button (one touch noiseless start) without applying throttle. As soon as engine starts, release start button. Engine will not start if throttle is opened. Twist throttle grip slowly towards you and simultaneously release brake lever gently and smoothly. Vehicle will start moving forward. As vehicle picks up speed, increase throttle slowly. Close throttle completely and apply both brakes simultaneously. Turn engine kill switch to 'OFF' position. Turn ignition 'OFF'. Park vehicle on firm, flat surface. Lock steering and take out control key. Do not keep engine in idling rpm for long and do not open excessive throttle when vehicle is parked. It leads to overheating of engine and damage to internal components. Caution: Do not raise throttle rapidly so vehicle will move forward suddenly and lead to loss of control. Reduce speed to safe limit before turning/cornering. Do not apply brake while turning/cornering.",235,"38STARTING THE ENGINE
Ensure the availability of fuel in the fuel tank. Insert 
the control key into the ignition cum steering lock and 
turn it to the ‘ON’ position. Turn the engine kill switch 
to the  ‘       ‘ position and retract the side stand. Apply 
any one of the brake and press the electric starter 
switch to start the vehicle.
Press the start button (one touch noiseless start) 
without applying the throttle. As soon as the engine 
starts, release the start button. The engine will not 
start if the throttle is opened. 
Setting the vehicle in motion
1. Twist the throttle grip slowly towards you and 
simultaneously release the brake lever gently and 
smoothly. The vehicle will start moving forward.
2. As the vehicle picks up speed, increase the 
throttle slowly.
Stopping and parking
1. Close the throttle completely and apply both the 
brakes simultaneously.
2. Turn engine kill switch to ‘OFF’ position.
3. Turn the ignition ‘OFF’.
4. Park the vehicle on a firm, flat surface.
5. Lock the steering and take out the control key.Do not keep the engine in idling rpm for long and do 
not open excessive throttle when the vehicle is parked. 
It leads to overheating of engine and damage to the 
internal components.CautionWarning
Do not raise the throttle rapidly so the vehicle will move 
forward suddenly and lead to loss of control.
Reduce speed to a safe limit before turning / cornering. 
Do not apply brake while turning / cornering."
47,41,"39Caution: Never mix oil in petrol in the fuel tank. Always fill fuel from reputed and reliable fuel stations. CHECKS AND TIPS FOR IMPROVING FUEL ECONOMY: Regular checks: Carry out periodic maintenance checks as specified in this manual (page no. 42). Regular maintenance checks will save fuel and ensure trouble-free, enjoyable and safe riding besides keeping environment clean. Spark plug: A dirty or defective spark plug leads to wastage of fuel due to incomplete combustion. Inspect and clean the spark plug only if necessary. Replace the spark plug every 12000 kms (1 year). Always use recommended spark plug only. Air cleaner element: A dirty air cleaner element restricts airflow and increases fuel consumption. Replace the element every 12000 kms. Since paper filter is used in your scooter it is not recommended to clean the filter. Replace the filter incase of any abnormalities. FUEL RECOMMENDATION: Use only BS VI petrol with minimum RON 91. BS VI petrol containing upto 10% of ethanol by volume can be used. Higher ethanol content in petrol can degrade plastic and rubber components of fuel system and vehicle parts, cause corrosion damage to metal parts like fuel tank, etc, result in startability & drivability issues, and decrease fuel economy. Ethanol absorbs water very easily, resulting fuel separation. Extra care shall be taken to prevent moisture entry into fuel tank while filling ethanol blended petrol and water washing of",298,"39
39Caution
Never mix oil in petrol in the fuel tank. Always fill fuel 
from the reputed and reliable fuel stations.
CHECKS AND TIPS FOR IMPROVING FUEL 
ECONOMY
Regular checks
Carry out the periodic maintenance checks as 
specified in this manual (page no. 42).
Regular maintenance checks will save fuel and 
ensure trouble-free, enjoyable and safe riding besides 
keeping environment clean.
Spark plug
A dirty or defective spark plug leads to wastage of 
fuel due to incomplete combustion. Inspect and 
clean the spark plug only if necessary. Replace the 
spark plug every 12000 kms (1 year). Always use 
recommended spark plug only.
Air cleaner element
A dirty air cleaner element restricts airflow and 
increases fuel consumption. Replace the element 
every 12000 kms.
Since paper filter is used in your scooter it is not 
recommended to clean the filter. Replace the filter 
incase of any abnormalities.FUEL RECOMMENDATION
Use only BS VI petrol with minimum RON 91 .
BS VI petrol containing upto 10% of ethanol by 
volume can be used.
Higher ethanol content in petrol can
• degrade plastic and rubber components of 
fuel system and vehicle parts
• cause corrosion damage to metal parts like 
fuel tank, etc
• result in startability & drivability issues
• decrease fuel economy 
Ethanol absorbs water very easily, resulting fuel 
separation. Extra care shall be taken to prevent 
moisture entry into fuel tank while filling ethanol 
blended petrol and water washing of vehicle."
48,41,"Ethanol has a high affinity for water, leading to fuel separation. To avoid moisture entering the fuel tank when filling with ethanol-blended petrol, extra caution must be taken. Painted parts should not come into contact with ethanol-blended fuels. The manufacturer is not liable for any warranty issues that arise from using ethanol blends in excess of 10% by volume. If any abnormalities are observed due to the use of ethanol-blended fuels, customers are advised to use a different fuel station/brand for standard E10 fuel or contact Authorised Service Centres.",115,"Ethanol absorbs water very easily, resulting fuel 
separation. Extra care shall be taken to prevent 
moisture entry into fuel tank while filling ethanol 
blended petrol and water washing of vehicle.
Painted parts (viz. panels, covers) shall not come in 
contact with ethanol blended fuels. 
Manufacturer is not responsible for any warranty 
issues that results from using   ethanol blend in 
excess of 10% by volume. 
In case of any abnormalities observed due to use of 
ethanol blended fuels, customers are advised to use 
a different fuel station / brand for standard E10 fuel or 
contact Authorised Service Centres."
49,42,"Engine oil and Transmission oil: Dirty or less engine oil increases friction between various parts of the engine and reduces engine life, thereby increasing fuel consumption. Running with low transmission oil will cause damage to the gears and bearings. Regularly inspect engine oil and transmission oil for correct level and top-up if necessary. Replace at regular intervals as per maintenance schedule. 
Fuel Leak: Inspect and arrest fuel leaks if any from tank and fuel lines. Loss of fuel due to leak may drain fuel tank completely. 
Evaporation: Vehicle parked in hot sun leads to wastage of fuel through evaporation. Lower fuel levels in tank will have increased evaporation and condensation of moisture inside. Ensure to close fuel tank cap after every filling. If fuel tank cap kept open for long time, it leads to safety issues and fuel loss. 
Tyres: Low tyre pressure has adverse effect on vehicle. Drag on vehicle increases resulting in decreased fuel economy. Further more, handling may be adversely affected. On-road mileage of TVS Jupiter 125 is dependent on several factors like road condition, quality of fuel, riding speed, operation of brake, tyre inflation, maintenance/timely servicing of vehicle, load etc. and hence will differ from mileage given under standard test conditions such as made in recognised institutes. Note: Inspect tyre pressure regularly (weekly).",274,"40Engine oil and T ransmission oil
Dirty or less engine oil increases friction between 
various parts of the engine and reduces the engine 
life, thereby increases the fuel consumption. 
Running with low transmission oil will cause damage 
to the gears and bearings. Regularly inspect the 
engine oil and the transmission oil for correct level 
and top-up if necessary. Get it replaced at regular 
intervals as per the maintenance schedule.
Fuel leak
Inspect and arrest fuel leaks if any from tank and fuel 
lines. Loss of fuel due to leak may drain the fuel tank 
completely.
Evaporation
Vehicle parked in the hot sun leads to wastage of fuel 
through evaporation. Also, lower fuel levels in the tank 
will have increased evaporation and condensation of 
moisture inside. Ensure to close fuel tank cap after 
every filling. If the fuel tank cap kept open for long 
time, it leads to safety issues and fuel loss.
T yres
Low tyre pressure has adverse effect on the vehicle. 
The drag on the vehicle  increases resulting in 
decreased fuel economy. Further more, handling may 
be adversely affected.The on-road mileage of TVS Jupiter 125 is dependent on 
several factors like road condition, quality of fuel, riding 
speed, operation of brake, tyre inflation, maintenance / 
timely servicing of vehicle, load etc. and hence will differ 
from the mileage given under standard test conditions 
such as made in recognised institutes.NoteInspect the tyre pressure regularly (weekly) and"
50,42,"From the mileage given under standard test conditions such as made in recognised institutes, inspect the tyre pressure regularly (weekly) and inflate it to the recommended pressure (refer page no. 57). Never use tyres which are worn beyond the permissible limit. Inspect and ensure the wheel freeness by rotating the wheels at least once in a week to avoid wastage of fuel. While waiting for someone or stopping in signals for long time, if the engine is kept running at idle speed, it causes unnecessary wastage of fuel. Anticipate corners and slopes as well as the traffic conditions. Unnecessary and frequent braking will reduce the fuel economy. Never accelerate and apply brake simultaneously. It leads clutch shoes wear and wastage of fuel.",148,"from the mileage given under standard test conditions 
such as made in recognised institutes.NoteInspect the tyre pressure regularly (weekly) and 
inflate it to the recommended pressure (refer page 
no. 57). Never use tyres which are worn beyond 
the permissible limit.
Wheel freeness
Inspect and ensure the wheel freeness by rotating 
the wheels at least once in a week to avoid wastage 
of fuel.
Avoid unnecessary idling
While waiting for someone or stopping in signals for 
long time, if the engine is kept running at idle speed, 
it causes unnecessary wastage of fuel.
Avoid frequent braking
Anticipate corners and slopes as well as the traffic 
conditions. Unnecessary and frequent braking will 
reduce the fuel economy. Never accelerate and 
apply brake simultaneously. It leads clutch shoes 
wear and wastage of fuel."
51,43,"41MAINTENANCE: MAINTENANCE SCHEDULE indicates the intervals between periodic services. At the end of each interval, inspect, check, replace, adjust, lubricate and service as instructed. If maintenance is not done periodically, it will result in rapid wear and severe damage to the vehicle. If vehicle is used under high stress conditions such as continuous full throttle operation or if used/operated in dusty climate, certain jobs should be performed more often to ensure reliability of the vehicle. Cylinder head, steering components, suspension and wheel components etc., are key items and require very special and careful servicing. TVS Motor Company Limited recommends that jobs as per the maintenance schedule be performed by TVS Motor Company Authorised Main Dealer/Authorised Dealer. Periodic inspections may reveal one or more parts that may need replacement. Whenever replacing parts on TVS Jupiter 125, use only TVS Motor Company Genuine parts. Proper running-in and maintenance are mandatory for making certain that vehicle is reliable and gives optimum performance at all times. Make sure that periodic maintenance is performed thoroughly in accordance with instructions given in owner’s manual. In more dusty areas, air filter element requires early replacement than mentioned kilometers to avoid costly damages to engine. Caution.",253,"41
41MAINTENANCE
MAINTENANCE SCHEDULE
The maintenance schedule indicates the intervals between periodic services. At the end of each interval, be sure 
to inspect, check, replace, adjust, lubricate and service as instructed. If the maintenance is not done periodically, it 
will result in rapid wear and severe damage to the vehicle. If the vehicle is used under high stress conditions such 
as continuous full throttle operation or if used / operated in dusty climate, certain jobs should be performed more 
often to ensure reliability of the vehicle. Cylinder head, steering components, suspension and wheel components 
etc., are key items and require very special and careful servicing. TVS Motor Company Limited strongly recommends 
that the jobs as per the maintenance schedule be performed by your TVS Motor Company Authorised Main Dealer / 
Authorised Dealer.
Periodic inspections may reveal one or more parts that may need replacement. Whenever replacing parts on TVS 
Jupiter 125, it is recommended that you use only the TVS Motor Company Genuine parts.
Proper running-in and maintenance are mandatory for making certain that your vehicle is reliable and gives optimum 
performance at all times. Make sure that the periodic maintenance is performed thoroughly in accordance with the 
instructions given in this owner’s manual.
In more dusty areas, the air filter element requires early replacement than the mentioned kilometers to avoid costly damages 
to the engine. Caution"
52,44,"Periodic_Maintenance_Schedule: 
Service: km 
Period_From_Date_of_Sale: PRE_RIDE_CHECKFREE_SERVICEAFTER_FREE_SERVICE 
Remarks: 
1st: 500~750, 30~60 days 
2nd: 5500~6000, 6 months 
3rd: 11500~12000, 12 months 
Every: 6000 km / 6 months 
Items_Activity: 
Engine_oil/Oil_filter_(strainer): Replace_or_Inspect_and_top-up, R/C, R/C, R/C, R/C, Clean_strainer 
Transmission_oil: Replace_or_Inspect_and_top-up, -, -, -, -, Replace_every_24000_km 
Spark_plug: Inspect_and_clean_or_Replace, I, -, R, Inspect_and_clean_if_required, Replace_every_12000_km 
Air_cleaner_element: Replace, -, -, -, R, Replace_every_12000_km 
Tappet_clearance: Inspect_and_adjust, I, I_&_A, I_&_A, I_&_A, Inspect_for_any_abnormal",298,"42PERIODIC MAINTENANCE SCHEDULE (months or km whichever occurs earlier)
SERVICE  
km
PERIOD FROM DATE OF SALEPRE 
RIDE 
CHECKFREE SERVICEAFTER 
FREE 
SERVICEREMARKS1st
500 ~ 750 
30 ~ 60 days2nd
5500 ~ 6000
6 months3rd
11500 ~ 12000
12 monthsEvery 
6000 km /
6 months
ITEMS ACTIVITY
Engine oil / Oil filter (strainer) Replace or Inspect and top-up – R / C R / C R / C R / C Clean strainer
Transmission oil Replace or Inspect and top-up – – – – – Replace every 24000 km
Spark plug Inspect and clean or Replace – I – R –Inspect and clean if 
required. Replace every 
12000 km
Air cleaner element Replace – – – R – Replace every 12000 km
Tappet clearance Inspect and adjust – I I & A I & A I & AInspect for any abnormal 
noise, starting trouble and 
adjust if required
Drive belt, CVT rollers and clutch 
shoeReplace – – – – –Replace
every 24000 km 
Cover variator Inspect, clean and lubricate – – – I, C & L – Every 12000 km
Front and rear suspension Inspect for proper functioning – – I I I
Evaporative emission Control 
SystemInspect – – – – – Every 18000 km
Throttle cable / gripInspect, clean, lubricate and 
adjust– – I, C, L & A I, C, L & A I, C, L & A
Steering smooth operation / play Inspect and adjust or Lubricate – – – I & A –Inspect and adjust 
Lubricate if required
Contd..."
53,45,"43SERVICE km PERIOD FROM DATE OF SALE: PRE RIDE CHECKFREE SERVICEAFTER FREE SERVICEREMARKS: 1st 500 ~ 750 30 ~ 60 days; 2nd 5500 ~ 6000 6 months; 3rd 11500 ~ 12000 12 months; Every 6000 km / 6 months. ITEMS ACTIVITY: All fasteners - Inspect and Tighten (I, I, I, I - Tighten if required); All bulbs, horn and switches - Inspect for proper functioning (I, I, I, I); Head lamp beam (focus) - Inspect and Adjust (I, -, I, I - Adjust if required); Battery Voltage (recharge if required) - Inspect (-, -, I, I - Through diagnostic tool or at battery terminal); Brake effectiveness / play - Inspect, Adjust & Lubricate at cable ends (I, L & A, I, L & A, I, L & A, I, L & A); Brake cam - Clean and Lubricate (-, -, C & L, -, - - At 6000 km and every 18000 km thereafter if necessary); Wheels / Tires - Inspect (I, -, I, I - Set tyre pressure if required); MIL codes - Inspect (I, -, I, I - Connect ride scan tool if MIL glows in speedometer); Check and clear DTCs (R - Replace; I - Inspect",298,"43
43SERVICE  
km
PERIOD FROM DATE OF SALEPRE 
RIDE 
CHECKFREE SERVICEAFTER 
FREE 
SERVICEREMARKS1st
500 ~ 750 
30 ~ 60 days2nd
5500 ~ 6000
6 months3rd
11500 ~ 12000
12 monthsEvery 
6000 km /
6 months
ITEMS ACTIVITY
All fasteners Inspect and tighten – I I I I Tighten if required
All bulbs, horn and switches 
workingInspect for proper functioning – – I I I
Head lamp beam (focus) Inspect and adjust I – I I I Adjust if required
Battery Voltage (recharge if 
required)Inspect – – I I IThrough dignostic tool or 
at battery terminal
Brake effectiveness / play Inspect, adjust & lubricate at 
cable endsI I, L & A I, L & A I, L & A I, L & A
Brake cam Clean and lubricate – – C & L – –At 6000 km and every 
18000 km thereafter if 
necessary
Wheels / Tires Inspect I – I I ISet tyre pressure if 
required
MIL codes Inspect I – I I IConnect ride scan 
tool if MIL glows in 
speedometer
Check and clear DTCs
R - Replace; I - Inspect; T - Top up; C - Clean; A - Adjust; L - Lubricate; TI - Tighten"
54,46,"Engine oil: 700 ml, Manufacturer: TVS Motor Company, Brand: TVS TRU4 SKUUTA oil (SAE 10W30 API-SL, JASO MB)
Transmission oil: 120 ml, Manufacturer: TVS Motor Company, Brand: TVS TRU4 SKUUTA oil (SAE 10W30 API-SL, JASO MB)
Front fork oil: 92 ± 1 ml / leg, Manufacturer: IOC, Brand: Gabriel Premium front fork oil
Grease: Manufacturer: Bharat petroleum, Brand: MP Grease No. 3; Manufacturer: IOC, Brand: Servo Gem No. 3; Manufacturer: Bechem, Brand: Bechem Premium grade 3; Manufacturer: Kluber Lubrication, Brand: Kluber Centoplex 2",166,"44RECOMMENDED LUBRICANTS
APPLICATION QTY MANUFACTURER BRAND
Engine oil 700 ml TVS Motor Company TVS TRU4 SKUUTA oil   
   (SAE 10W30 API-SL, JASO MB)
Transmission oil 120 ml -do- -do-  
Front fork oil 92 ± 1 ml / leg IOC Gabriel Premium front fork oil
Grease – Bharat petroleum MP Grease No. 3
  IOC Servo Gem No. 3
  Bechem Bechem Premium grade 3
  Kluber Lubrication Kluber Centoplex 2"
55,47,"45SELF-MAINTENANCE PROCEDURES: MAINTENANCE FREE (MF) Battery: The battery is located at the front of the vehicle inside the front panel, which must be removed to access the battery. To remove the front panel, follow these steps: 1. Remove the two front panel mounting screws shown in the figure. 2. Gently pull out the front panel by dislocating its lugs, taking care not to damage the mounting lugs. 3. During reassembly, reverse the removal procedure. Since the maintenance free battery is fitted in the vehicle, it is not necessary to top-up with distilled water. To ensure battery performance and long life, check the battery voltage as per the schedule. If the voltage is less than 12.4 Volts, charge the battery using the recommended MF battery charger at a TVS Motor Company Authorised Main Dealer/Authorised Dealer. Adding any additional electrical accessories other than those recommended by TVS Motor Company Limited may lead to disqualification of warranty coverage.",208,"45
45SELF - MAINTENANCE PROCEDURES
MAINTENANCE FREE (MF) Battery
Battery is located at the front of vehicle inside the 
front panel. This panel must be removed to access 
the battery. Follow the procedure for front panel 
removal:
1. Remove the front panel mounting screws shown 
in the figure (2 nos.). 
2. Gently pull out the front panel by dislocating 
its lugs while taking care not to damage the 
mounting lugs.
3. During reassembly reverse the removal 
procedure.Since the maintenance free battery is fitted in your 
vehicle it is not necessary to top-up with the distilled 
water. But to ensure the battery performance and 
long life, follow the steps given below:
Check the battery voltage as per the schedule. If the 
Voltage is less than 12.4 Volts, charge the battery 
using recommended MF battery charger at TVS 
Motor Company Authorised Main Dealer / Authorised 
Dealer.
1. Adding any additional electrical accessories other 
than TVS Motor Company Limited recommended 
ones, may lead to disqualification of warranty 
covergage."
56,48,"Connect the red wire to the '+' terminal and black wire to the '-' terminal of the battery. Apply petroleum jelly at terminals to prevent corrosion. In case of any abnormality or for removal of battery from the vehicle, contact TVS Motor Company Authorised Main Dealer / Authorised Dealer. Never check the battery charge by shorting the terminals. Always connect the positive terminal first (red wire) and then negative (black wire) to avoid sparking. The inversion of the battery wires can damage the battery and the electrical system. To maintain battery health during prolonged parking conditions, it is recommended to ride the vehicle for minimum 60 km every week at an average speed of minimum 30 kmph. Use kick-starting, if available, to conserve battery charge during such period. This is only a recommendation to maintain battery charge and regular service schedules must be followed to maintain the vehicle in good running condition.",181,"462. While connecting the terminals, observe the 
correct polarity. Connect the red wire to the ‘+’ 
terminal and black wire to the ‘-’ terminal of the 
battery.
3. Petroleum jelly must be applied at terminals to 
prevent it from corrosion.
4. lncase of any abnormality or for removal of battery 
from the vehicle, contact TVS Motor Company 
Authorised Main Dealer / Authorised Dealer.
Never check the battery charge by shorting the terminals.
Always connect the positive terminal first (red wire) and 
then negative (black wire) to avoid sparking.
The inversion of the battery wires can damage the 
battery and the electrical system.CautionRecommendations to maintain battery health 
during prolonged parking conditions
While your vehicle is parked for prolonged duration, 
battery continues to discharge and if left unattended 
can get completely discharged. It is recommended to
ride the vehicle for minimum 60 km every week to 
keep the battery in healthy condition. This could be at
a stretch in one ride or several rides during the week 
The vehicle speed will vary during the ride but an 
average speed of minimum 30 kmph will be helpful 
to ensure proper battery charging. Use kick-starting, 
if available, to conserve battery charge during such 
period. This is only a recommendation to maintain 
battery charge and regular service schedules must 
be followed to maintain your vehicle in good running 
condition.
The following is recommendations to users regarding"
57,48,"Battery charge and regular service schedules must be followed to maintain the vehicle in good running condition. Before storage, the battery should be fully charged and the battery fuse should be disconnected and stored safely by skilled personnel. This will reduce the sleep mode current and enhance the storage life of the battery.",57,"battery charge and regular service schedules must 
be followed to maintain your vehicle in good running 
condition.
The following is recommendations to users regarding 
battery maintenance before, during and after long 
storage of battery:
1. Before storage
a. Store the battery only after fully charging it.
b. Battery fuse to be disconnected and stored 
safely. This will reduce the sleep mode current 
and hence enhance storage life of battery.#
# To be done by skilled  personnel"
58,49,"Skilled personnel must disconnect the positive and negative wires of the battery and secure the fasteners. During storage, the vehicle should be stored at room temperature or lower, in the shade, and protected from rain. Additionally, the vehicle should be covered to prevent rodents from entering and damaging the wires. After storage, the wires and fuse should be connected with the ignition switch in the OFF position. Periodic maintenance of the battery should include keeping the top of the battery clean, checking cables, clamps, and case for damage or loose connections, cleaning terminals and connectors as necessary, and recharging the battery if the voltage is below 12.4 Volts. VRLA/Lead Acid batteries are prone to water damage, so any water entry will result in irreparable damage to the battery or the vehicle. Never operate the vehicle with a discharged battery, and do not push start the vehicle. Additionally, batteries develop explosive gases, so they should be kept away from heat sources and charged in a well-ventilated area. Unusable batteries must be disposed of in an environmentally-friendly manner.",217,"47
47# To be done by skilled  personnelc. Alternatively, battery connecting wires 
(positive and negative wires) can be 
disconnected and fasteners can be secured 
with battery terminals.#
2. During storage
a. Store it at room temperature or lower.
b. Store the vehicle in the shade and protected 
from rain and cover the vehicle to prevent 
rodents from entering and damaging the 
wires.
3. After storage
a. Connect the wires and fuse, if disconnected 
earlier, with ignition switch in OFF position*
b. Start the vehicle by kick starting (if available).
(Above recommendations do not consider storage 
effects on other systems such as induction and fuel 
systems and wheels).
Periodic maintenance of Batteries:
• Keep top of battery clean.
• Check cables, clamps, and case for obvious 
damage or loose connections.
• Clean terminals and connectors as necessary.
Recharge battery if voltage is below 12.4 
Volts.• Valve Regulate Lead Acid (VRLA) / Lead Acid 
batteries are prone to water damage. Any 
water entry, through vents or otherwise; will 
result in irreparable damage to the battery or 
the vehicle.
Never operate the vehicle with discharged battery as it 
may damage electrical components.
Do not push start the vehicle, use a good battery to start 
the vehicle.CautionWarning
Battery develop explosive gases. Keep it away from 
heat sources. If charging is required the battery must be 
charged in well ventilated area.
Unusable battery must be disposed in environment"
59,49,"Battery produces explosive gases; keep it away from heat sources. When charging is necessary, charge the battery in a well-ventilated area. Unusable batteries must be disposed of in an environmentally friendly way; do not discard them with household waste. Take the battery to a battery dealer or recycling center that accepts used batteries.",64,"Battery develop explosive gases. Keep it away from 
heat sources. If charging is required the battery must be 
charged in well ventilated area.
Unusable battery must be disposed in environment 
friendly manner. Do not discard it with household 
thrash. Handover the battery to the battery dealers or to 
a recycle center that accept used battery."
60,50,"Do not use the vehicle by shorting the wires without fuse, as this may result in overheating of electrical items/wiring and may cause fire. Do not use a fuse of higher amperage than specified for the safety of the electrical system. Non-working of electrical systems may be due to safety fuse failure, which is caused by short circuit or overload in the electrical system. There are two fuse cases containing one blade type fuse (15A) and two mini fuses (10A) located near the battery. To inspect and replace the fuse, turn 'OFF' the ignition, remove the front panel, take out the fuse cases located near the battery one by one, open the fuse cases and pull out the fuse, inspect the fuse for failure, and if found blown, replace it with a new one (additional fuses are provided in the wiring harness itself in a pouch or provided inside the fuse case itself). Close the fuse case and re-fix it into the battery box, turn 'ON' the ignition switch and check for proper functioning of electrical systems. If the fuse fails again, consult the nearest TVS Motor Company Authorised Main Dealer/Authorised Dealer. Good Fuse vs. Blown Fuse.",250,"48
Do not use the vehicle by shorting the wires without  
fuse. This may result in overheating of electrical items / 
wiring and may result in fire. Do not use fuse of higher 
amperage than specified for the safety of electrical 
system.CautionFUSE
Non-working of electrical systems may be due to 
safety fuse failure. Short circuit or overload in the 
electrical system are the main causes for fuse failure. 
There are two fuse cases containing one blade type 
fuse (15A) and two mini fuses (10A) located near 
the battery. Follow the procedure given below for 
inspecting and replacing the fuse.
1. Turn ‘OFF’ the ignition.
2. Remove the front panel as explained earlier.
3. Take out the fuse cases located near from the 
battery one by one.
4. Open the fuse cases and pull out fuse.5. Inspect the fuse for failure. If found blown, replace 
it with a new (additional fuses are provided in the 
wiring harness itself in a pouch or provided inside 
the fuse case itself).
6. Close the fuse case and re-fix it into the battery 
box.
7. Turn ‘ON’ the ignition switch and check for proper 
functioning of electrical systems. Incase the 
fuse fails again, consult the nearest TVS Motor 
Company Authorised Main Dealer / Authorised 
Dealer.
Good Fuse Blown Fuse"
